Sequence,SET_LUM,SET_CCT,RAW_LUM,RAW_CCT
0,0.0,2700,7.0,3408.0
1,50.0,2700,7.0,3408.0
2,100.0,2700,1898.0,2623.0
3,0.0,3700,7.0,3403.0
4,50.0,3700,7.0,3403.0
5,100.0,3700,2909.0,3470.0
6,0.0,4700,7.0,3407.0
7,50.0,4700,7.0,3407.0
8,100.0,4700,2721.0,4098.0
9,0.0,5700,2721.0,4098.0
10,50.0,5700,9975.0,5541.0
11,100.0,5700,1843.0,5567.0
Sequence,SET_LUM,SET_CCT,RAW_LUM,RAW_CCT
0,0.0,2700,7.0,3363.0
1,50.0,2700,7.0,3363.0
2,100.0,2700,1896.0,2622.0
3,0.0,3700,1896.0,2622.0
4,50.0,3700,1613.0,3399.0
5,100.0,3700,2898.0,3469.0
6,0.0,4700,7.0,3352.0
7,50.0,4700,7.0,3352.0
8,100.0,4700,2714.0,4097.0
9,0.0,5700,8.0,3362.0
10,50.0,5700,9963.0,5540.0
11,100.0,5700,1836.0,5567.0
Sequence,SET_LUM,SET_CCT,RAW_LUM,RAW_CCT
0,0.0,2700,8.0,3392.0
1,50.0,2700,1092.0,2604.0
2,100.0,2700,1883.0,2621.0
3,0.0,3700,7.0,3361.0
4,50.0,3700,1609.0,3400.0
5,100.0,3700,1609.0,3400.0
6,0.0,4700,7.0,3402.0
7,50.0,4700,7.0,3402.0
8,100.0,4700,2704.0,4100.0
9,0.0,5700,2704.0,4100.0
10,50.0,5700,9927.0,5548.0
11,100.0,5700,9927.0,5548.0
Sequence,SET_LUM,SET_CCT,RAW_LUM,RAW_CCT
0,0.0,2700,8.0,3388.0
1,50.0,2700,1069.0,2592.0
2,100.0,2700,1844.0,2608.0
3,0.0,3700,8.0,3410.0
4,50.0,3700,1579.0,3400.0
5,100.0,3700,2832.0,3471.0
6,0.0,4700,8.0,3417.0
7,50.0,4700,1452.0,4073.0
8,100.0,4700,2657.0,4116.0
9,0.0,5700,8.0,3444.0
10,50.0,5700,9792.0,5598.0
11,100.0,5700,1806.0,5628.0
